NAME: print, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: input, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: objectmemberkeys, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: objecttotalmembers, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: objectcopy, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: totalarguments, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: argument, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: typeof, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: strtonum, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: sqrt, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: cos, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: sin, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: x, TYPE:GLOBAL VARIABLE, LINENO: 1, SCOPE: #0
NAME: y, TYPE:GLOBAL VARIABLE, LINENO: 2, SCOPE: #0
NAME: nl, TYPE:GLOBAL VARIABLE, LINENO: 3, SCOPE: #0
NAME: i, TYPE:GLOBAL VARIABLE, LINENO: 4, SCOPE: #0
NAME: user, TYPE:GLOBAL VARIABLE, LINENO: 25, SCOPE: #0
